,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,12,8,1,223,46,31.85,246,90.65,0,0,20,4,7,0,12,9,233,210,4,2/15,2/15,52.50,5.40,58.2,0,0,0
1,T20Is,9,4,0,101,43,25.25,73,138.35,0,0,11,5,2,0,9,6,126,191,5,2/32,2/32,38.20,9.09,25.2,0,0,0
2,First-class,41,53,9,2099,111,47.70,4103,51.15,5,15,246,22,26,0,41,52,3065,1630,32,4/52,5/89,50.93,3.19,95.7,2,0,0
3,List A,70,58,12,1671,129,36.32,1819,91.86,2,8,139,33,29,0,70,58,1848,1551,47,4/34,4/34,33.00,5.03,39.3,1,0,0
4,T20s,78,62,17,1146,69,25.46,895,128.04,0,4,74,46,45,0,78,42,549,818,20,2/12,2/12,40.90,8.93,27.4,0,0,0
