,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,10,15,6,14,6,1.55,102,13.72,0,0,1,0,3,0,10,20,2416,1073,49,6/33,9/86,21.89,2.66,49.3,0,3,0
1,ODIs,58,13,8,19,10*,3.80,43,44.18,0,0,2,1,17,0,58,58,3009,2254,103,5/27,5/27,21.88,4.49,29.2,5,1,0
2,T20Is,42,6,4,8,7,4.00,13,61.53,0,0,1,0,6,0,42,42,919,1029,51,3/11,3/11,20.17,6.71,18.0,0,0,0
3,First-class,36,43,25,134,16*,7.44,574,23.34,0,0,16,0,12,0,36,62,7430,3328,138,6/29,9/86,24.11,2.68,53.8,3,9,0
4,List A,83,26,15,82,42*,7.45,101,81.18,0,0,7,4,25,0,83,83,4364,3155,155,5/27,5/27,20.35,4.33,28.1,8,2,0
5,T20s,149,22,15,69,16*,9.85,77,89.61,0,0,4,3,23,0,149,149,3324,3932,174,3/7,3/7,22.59,7.09,19.1,0,0,0
