,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,90,144,16,4876,224,38.09,8249,59.11,6,33,544,78,256,38,90,7,96,67,0,-,-,-,4.18,-,0,0,0
1,ODIs,350,297,84,10773,183*,50.57,12303,87.56,10,73,826,229,321,123,350,2,36,31,1,1/14,1/14,31.00,5.16,36.0,0,0,0
2,T20Is,98,85,42,1617,56,37.60,1282,126.13,0,2,116,52,57,34,98,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,131,210,19,7038,224,36.84,,,9,47,,,364,57,131,,126,87,0,-,-,-,4.14,-,0,0,0
4,List A,423,364,99,13353,183*,50.38,,,17,87,,,402,141,423,,63,53,2,1/14,1/14,26.50,5.04,31.5,0,0,0
5,T20s,317,283,117,6621,84*,39.88,4882,135.62,0,27,451,295,170,83,317,1,12,25,0,-,-,-,12.50,-,0,0,0
