allegiance,alma mater,awards,based in,battles/wars,born,cabinet,cause of death,chief minister of punjab (pakistan),children,citizenship,civilian awards,commands,committees,died,domestic partner,education,father,known for,military awards,mother,national awards,nationality,net worth,nickname(s),notable awards,occupation,other politicalaffiliations,other names,parents,period in office,political party,portfolio,post,post-retirement work,predecessor,profession,rank,relations,relatives,religion,residence,resting place,s/no.,salary,school,service/branch,spouse,spouse(s),unit,website,years of service
,calcutta university (d.d.s),,,,fatima ali jinnah(1893-07-31)31 july 1893thatta| sindh| british india (now in pakistan),,heart failure,,,pakistani,,,,9 july 1967(1967-07-09) (aged 73)karachi| sindh| pakistan,,,,,,,, pakistan,,,,dentist| dental surgeon,,,,,all-india muslim league (before 1947)muslim league (1947–1958)independent (1960–1967),,,,,,,see jinnah family,,,,,,,,,,,,,
,university of karachi(ba)national defence university(msc),,,,fouzia wahab(1956-11-14)14 november 1956karachi| sindh province| west-pakistan,,,,murtaza wahab,pakistan,,,,17 june 2012(2012-06-17) (aged 55)[1]karachi| sindh province| pakistan,,,,,,,,pakistani,,,hilal-e-imtiaz (2012),,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,athar husain (1993–2012)wahab siddiqui (1978–1993),,,
,,,,,1930nawabshah| british india,,,,"asif ali zardari (son)  faryal talpur (daughter)  azra peechoho 
(daughter)  fauzia zardari",,,,,24 may 2011(2011-05-24) (aged 80–81)islamabad| pakistan,,,,,,,,pakistani,,,,,national democratic party,,,,pakistan peoples party,,,,,businessman| agriculturist,,,,,,nawabshah| sindh| pakistan,,,,,,bilquis sultana zareen ara,,,
,,,,,1958quetta pakistan,,,,,,,,,26 january 2009quetta| pakistan,,,,,,,,,,,,,,,,,hdp,,,,,politician| intellectual| actor,,,,,,,,,,,,,,www.hdp.org.pk,
,,hilal-e-imtiaz  1992                  pride of performance  1983                  ,,,imran ahmed khan niazi (1952-10-05) 5 october 1952 (age 66)lahore| pakistan,,,,3,,,,,,emma sergeant (1982–1986)[1]sita white (c. 1987–1991)[2][3],keble college| oxford(b.a. (hons.) in ppe),,,,,,,₨1.4 billion (us$13 million)[5],kaptaan[6][7],,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,₨1.68 million (us$16|000)[4],,,,jemima goldsmith(m. 1995; div. 2004)reham khan(m. 2015; div. 2015)bushra bibi (m. 2018),,,
,peshawar university engineering collegebachelor's degree in civil engineering,,,,iqbal zafar jhagra (1947-05-17) 17 may 1947 (age 71)peshawar| british raj,secretary-general of pml (n),,,4,,,,chairman senate standing committee for defence|production and aviation and special asstt to prime minister nawaz sharif from 1997 to oct 1999,,,,,,,,, pakistan,,,,politician,,,,,pakistan muslim league (n),,,,,engineer,,iftikhar khan jhagra (cousin),,,jhagra house peshawar|kpk,,,,,,,1,,profile,
,punjab university(bsc| msc| and mphil in poly sci.),,,,muhammad javed hashmi (1948-01-01) 1 january 1948 (age 71)multan| punjab| pakistan,,,,bushra| mamoona(daughters), pakistan,,,,,,,,,,,,,,,,,pakistan tehreek-e-insaf(2011–2014),,,,pakistan muslim league (n),,,,,lawyer| agriculturist,,,,,,,,,,,,,,,
,government college university(ba and ma)university of cambridge(phd),,,,(1924-10-05)5 october 1924sialkot| punjab province| british indian empire,,prostate cancer,,waleed iqbal (son) and munib iqbal (son), british india (1924–1947) pakistan (1947–2015),,,,03 oct| 2015 (90)lahore| pakistan,,,,,,,hilal-i-imtiaz in 2004,british indian (1924–1947)pakistani (1947–2015),,,,philosopher of law| jurist| and judge,,,sir muhammad iqbal (father)sardar begum (mother),,,,,,,philosopher,,yousuf salahuddin (nephew),,,,lahore| pakistan,,,,,,justice nasira iqbal,,,
,,,,, (1964-01-01) 1 january 1964 (age 55)multan,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
,cambridge university(ma in eng.)aligarh muslim university(ba in soci.),order of the indian empire,,,khawaja nazimuddin(1894-07-19)19 july 1894dacca| bengal| british india(now dhaka| bangladesh),,,,,indian (1894–1947)pakistani (1947–1964),,,,22 october 1964(1964-10-22) (aged 70)dacca| pakistan(now dhaka| bangladesh),,,,,,,,pakistani[1],,,,,all-india muslim league(1922–1947),,,,pakistan muslim league(1947–64),,,,,barrister| politician,,khwaja shahabuddin(younger brother),,,,mausoleum of three leaders,,,,,,shah bano ashraf| daughter of khwaja ashraf,,,
,,,,,,,,,shahram khan,,,,,,,,,,,,,pakistani,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,usman khan tarrakai (brother)mohammad ali tarkai (brother),,,,,,,,,,,,
,aligarh muslim university(bsc in polysci)oxford university(llb in civil law)inns of court school of law,,,,nawab liaquat ali khan(1895-10-01)1 october 1895karnal| punjab| british india (now in haryana| india),,ballistic trauma,,, british india(1895–47) pakistan(1947–51),,,,16 october 1951(1951-10-16) (aged 56)rawalpindi| punjab| pakistan,,,,,,,,,,,,,,,,,all-india muslim league(1921–1947)pakistan muslim league(1947-1951),,,,,lawyer| statesman,,,,,,mazar-e-quaid in karachi,,,,,,"jehengira begum(m. 1918)
ra'ana liaquat ali khan(m. 1945)",,liaquat ali khanofficial website,
,,,,, (1947-03-03) 3 march 1947 (age 71)naudero,,,,2[2],,,,,,,,,,,,,pakistani,,,,,,,,,pakistan muslim league (f),,,,,,,,,,,,,,,,,akbar rashidi (m. 1981)[1],,,
,,,,, (1935-03-31) 31 march 1935 (age 83)firozpur| punjab| british india[1] (now india),,,,,,,,,,,,,,,,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,lawyer,,,,,,,,,,,,,,,
,the honourable society of lincoln's inn,,,,mohammedali jinnahbhai(1876-12-25)25 december 1876karachi| bombay presidency| british india,,,,dina wadia (by rattanbai petit),,,,,11 september 1948(1948-09-11) (aged 71)karachi| federal capital territory| dominion of pakistan[1],,,,,,,, british india (1876–1947) pakistan (1947–1948),,,,,,,jinnahbhai poonja (father)mithibai jinnah (mother),,"
indian national congress (1906–1920)
all-india muslim league (1913–1947)
pakistan muslim league (1947–1948)
",,,,,"
barrister
politician
",,see jinnah family,,,,mazar-e-quaid,,,,,,"
emibai jinnah (1892–93)
rattanbai petit (1918–29)
",,,
,,,,, (1952-12-11) 11 december 1952 (age 66),,,,,,,,,,,,justice shaykh muhammad karam shah al-azhari,,,,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
,st. patrick's collegeplumpton college| united kingdom,,,,muhammad khan junejo(1932-08-18)august 18| 1932sindhri tharparkar in mirpur khas| sind| british india(present-day pakistan),,leukemia,,, pakistan,,,,march 18| 1993(1993-03-18) (aged 60)johns hopkins hospital in baltimore| maryland| u.s.,,,,,,,,,,,,,pakistan muslim league (j)(1988–93),,,,pakistan muslim league(1962–1988),,,,,,,,,,,sindhri in mirpur khas district| sindh| pakistan,,,,,,,,,
,punjab university(ba| llb),,,, (1929-11-02) 2 november 1929 (age 89)ghakhar mandi|[1] punjab| british raj(now in punjab| pakistan),sharif cabinet,,,,,,,,,,,,,,,,pakistani,,,,,,,,,pakistan muslim league (n),,,,,jurist,,saira afzal tarar (daughter-in-law),,,,,,,,,,,,,
,,,,, (1963-01-19) 19 january 1963 (age 55),,,,,,,,,,,,,,,,,pakistani,,,,,,,,,pakistan muslim league (n),,,,,,,,nawaz sharif (father-in-law),,,,,,,,,maryam nawaz (m. 1992),,,
,,,,, (1974-02-27) 27 february 1974 (age 44)jacobabad district| karachi|sindh| pakistan,,,,,,,,,,,,,,,,,pakistani,,,,politician,,,bhagwandas chawla (father),,pakistan peoples party parliamentarians,,,,,,,,ratna chawla (sister),,,,,,,,,,,,
,,,,, (1933-11-28) november 28| 1933 (age 85)pir bux bhutto| larkana district| sindh| british raj  (now pakistan),,,,,,,,,,,,,,,,,,,,,,,,nabi bux khan bhutto (father),,pakistan tehreek-e-insaf,,,,,chief of bhutto tribe| politician,,zulfiqar ali bhutto (cousin)shah nawaz bhutto (uncle)ghulam murtaza bhutto (grandfather),,,sindh,,,,,,,,,,
,govt. college  university(b.a. arts| bba)university of the punjab(llb),,,,mian muhammad nawaz sharif (1949-12-25) 25 december 1949 (age 69)lahore| pakistan,,,,maryam hussain hassanasma,,,,,,,,,,,,, pakistan,₨1.6 billion (us$15 million) (2017)[1],,,,,,,,pakistan muslim league (before 1988) islami jamhoori ittehad 1988–1993pakistan muslim league (n) 1993–2018,,,,,,,,see sharif family,,,,,,,,,kulsoom nawaz(m. 1970; died 2018),,,
,,,,,(1890-07-09)9 july 1890pir jo goth| pakistan,,,,,,,,,8 october 1975(1975-10-08) (aged 85),,,,,,,,,,,,,,,,,,,,,,,,farzana raja (granddaugher),,,,,,,,,,,,,
 pakistan,,tamgha-e-imtiaz (military)sitara-e-basalatsitara-e-imtiaz (military)hilal-e-imtiaz (military)nishan-e-imtiaz (military)legion of honor (by french republic)the legion of merit (degree of commander) (by united states of america)medal of merit santos dumont(by federative republic of brazil)the legion of merit of turkish armed forces (by republic of turkey)king abdul aziz medal class i (by kingdom of saudi arabia),,war in north-west pakistan,1954 (age 64–65)[1]lahore.[1],,,,,,,paf base peshawarpaf air war collegesouthern air commanddg air force strategic commanddcas (operations)chief of air staff,,,,,,,,,,,,,,,,,,,,,,,,,air chief marshal,,,,,,,,, pakistan air force,,,,,1 june 1975 – 18 march 2012
,,,,,1963balochistan| pakistan,,,,,,,,,6 august 2009karachi| sindh,,,,,,,,,,,,,,,,,independent,,,,,,,,,,,,,,,,,,,,
,,sitara-i-imtiaz,,, (1966-06-07) 7 june 1966 (age 52)hafizabad| pakistan,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,pakistan muslim league (n),,,,,,,muhammad rafiq tarar (father-in-law),,,,,,,,,,,,,
,,,,,16 september 1946quetta pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,balochistan national party,,,,,,,,,,quetta| balochistan| pakistan,,,,,,,,,,
,,,,, (1964-05-15) 15 may 1964 (age 54)karachi| sindh| pakistan,,,,2 (both deceased),,,,,,,,,,,,,pakistani,,,,politician,,,,,ppp,,,,,,,,,,,,,,,,,ghulam qadir,,,
,smith college university of sussex,,,,shehrbano rahman (1960-12-21) 21 december 1960 (age 58)karachi| sindh| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,www.sherryrehman.com,
,,,london| uk,,lahore| pakistan,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,usuli twelver shia islam,,,,,,,,,,official website,
,,,,, (1940-01-20) 20 january 1940 (age 78),,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party parliamentarians,,,,,lawyer,,shafqat hussain (father)| hamida begum (mother)syed imtiaz alam gilani| syed aijaz alam gilani (brothers)[1],,,,,,,,,,,,,
,,,,,utmanzai|charsadda,,,,,,,,,,,,,,,,,pakistani,,,,politician,,,,,awami national party (anp),,,,,,,,,,,,,,,,,,,,
 pakistan,,légion d'honneur nishan-e-imtiaz (1999) hilal-e-imtiaz (2001) sitara-e-imtiaz (2001) sitara-e-basalat (1997),,indo-pakistani war of 1965indo-pakistani war of 1971indo-pakistani war of 1999atlantique incident2001 indo-pakistani standoff,abdul aziz mirza1943 (age 75–76)rawalpindi| punjab| british india(present-day pakistan),,,,,british indian (1939–47)pakistan ((1947 – present),,vice-chief of naval staffdcns (operations)add.secy. ministry of defence,,,,,,,,,,,,,,,,,,,,,,,,,admiral,,,,,,,,, pakistan navy,,,naval operations branch,,1961–2002
,,,,,abdul sattar1931 (age 87–88),,,,,pakistan,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"indo-pakistani war of 1965
aerial operations in 1965
indo-pakistani war of 1971

operation chengiz khan
1971 east-pakistan air strikes
",abdur rahim khan(1925-10-25)october 25| 1925,,,,,british subject (1925–1947)pakistan (1947–1990), hilal-i-quaid-e-azamsitara-e-pakistan,deputy commander-in-chief (air operations)| ahq aoc paf base masrurpaf staff college,,february 28| 1990(1990-02-28) (aged 64)potomac| maryland| united states,,,,,hilal-i-juratsitara-e-basalat,,,,,a.r. khan,,,,,,,,,,,,, air marshal,,,,,,,,, indian air force (1944–1947) pakistan air force (1947–1972),,,no. 7 squadron bandits,,1942–72
,bahauddin zakariya university(b.a. in poly sci.),,,,syed abida hussain1948 (age 70–71)[1][note 1]jhang| punjab| pakistan,,,,sughra imam(daughter), pakistan,,,,,,,,,,,,,,,,,pakistan peoples party(2006–2013),,,,pakistan tehreek insaf,,,,,landlord| diplomat,,,,,,,,,,,,fakhar imam,,,
,indian institute of science,,,,agha shahi25 august 1920bangalore| mysore,zia military governmentzulfiqar ali bhutto government,,,,indian (1920–1947)pakistan (1947–2006),,,,6 september 2006(2006-09-06) (aged 86)islamabad| pakistan,,,,,,,nishan-e-imtiaz| 2nd class(order of excellence),pakistan,,,,statesman,,,,,,,,,,physicist| mathematician| teacher,,,,,,,,,,,,,,,
,fletcher school of law and diplomacy| university of the punjab| paf public school sargodha,,,, (1958-02-27) 27 february 1958 (age 60)[1],,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,forman christian college| university of the punjab and the fletcher school of law and diplomacy at tufts university mass usa,,,,(1931-10-27)october 27| 1931gujranwala| punjab| british raj (present pakistan),,,,,,,,,november 30| 2017(2017-11-30) (aged 86)islamabad| pakistan,,,,,,,,pakistani,,,,diplomat politicians human rights activist writer,,,,,pakistan muslim league,,,,,career diplomat,,,,,,,,,,,,,,,
,,,,,1942,,,,,pakistan,,,,,,,,,,,,pakistani[1],,,,,,,,,,,,,,,,,,,islamabad| islamabad capital territory,,,,,,,,,,
,,sitara-e-pakistan,,,5 april 1908chitral| pakistan,,,,,,,,,october 10| 2008(2008-10-10) (aged 100)islamabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,yusuf khattak (brother)  habibullah khan khattak (brother),,,,,,,,,,,,,
 pakistan,,hilal-e-imtiaz (military)[1],,"indo-pakistani war of 1999war in north-west pakistan
operation sherdil
operation black thunderstorm
operation rah e raast
khyber pass offensive
operation rah-e-nijat
orakzai and kurram offensive
",23 june 1955[1]lahore,,,,,,,6th armoured division| khariandg quartering and landsdg inter-services public relations,,,,asia pacific centre for security studies| national defence university| quaid-i-azam university,,,,,,,,,,,,,,,,,,,,, major general,siblings: mazhar abbas| azhar abbas| zaffar abbas,,,,,,,, pakistan army,,,army armored corps,,1976 – 2012
,government college| lahoreuniversity of cambridge,,,,aziz ahmed(1906-06-24)24 june 1906[1]amritsar| punjab province (british india),zulfikar ali bhutto government,,,,british subject (1906–1947)pakistan (1947–1982),,,,23 october 1982(1982-10-23) (aged 76)islamabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,islamabad capital cemetery,,,,,,,,,
,,,,,(1895-08-16)16 august 1895[1][2]pind dadan khan| jhelum district| punjab| british india,,,,,,,,,1963 (aged 67–68)[1][2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1912bombay,,,,,,,,,1991karachi,,bachelor of arts| ll.b.,ibrahim rahimtoola,founders of pakistan,,,,,,,,,,,,,,,,,,,,,jafar rahimtoola (uncle)fazal i rahimtoola (brother),,,,,,,,,zubeida rahimtoola,,,
