,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,34*,-,-,-,-,-,,v Canada,Mumbai,13 Mar 2011
1,2,-,4.0,26,0,0,0,,v Canada,Mumbai,13 Mar 2011
2,1,-,1.0,4,0,0,0,,v Sri Lanka,Mumbai,18 Mar 2011
3,2,5,-,-,-,-,-,,v Sri Lanka,Mumbai,18 Mar 2011
4,1,38*,-,-,-,-,-,,v South Africa,Dhaka,25 Mar 2011
