,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,DNB,-,-,-,-,-,,v Sri Lanka,Christchurch,14 Feb 2015
1,2,-,10.0,64,2,0,0,,v Sri Lanka,Christchurch,14 Feb 2015
2,1,-,6.0,21,2,0,0,,v Scotland,Dunedin,17 Feb 2015
3,2,DNB,-,-,-,-,-,,v Scotland,Dunedin,17 Feb 2015
4,1,-,10.0,32,1,0,0,,v England,Wellington,20 Feb 2015
