,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,DNB,-,-,0,0,,v England,Gros Islet,16 Mar 2007
1,2,0,-,-,-,-,-,,v England,Gros Islet,16 Mar 2007
2,1,85,-,-,-,-,-,,v Kenya,Gros Islet,20 Mar 2007
3,2,-,DNB,-,-,0,0,,v Kenya,Gros Islet,20 Mar 2007
4,1,0,-,-,-,-,-,,v Sri Lanka,St George's,12 Apr 2007
