,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,2.0,14,1,1,0,,v Sri Lanka,Cardiff,1 Jun 2019
1,2,DNB,-,-,-,-,-,,v Sri Lanka,Cardiff,1 Jun 2019
2,1,-,8.0,39,1,1,0,,v Bangladesh,The Oval,5 Jun 2019
3,2,15,-,-,-,-,-,,v Bangladesh,The Oval,5 Jun 2019
4,1,-,4.0,14,1,0,0,,v Afghanistan,Taunton,8 Jun 2019
