,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,16,24,1,700,130,30.43,1278,54.77,2,3,77,6,11,0,16,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,233,217,32,7348,148,39.71,8053,91.24,13,46,612,211,83,0,233,-,-,-,-,-,-,-,-,-,-,-,-
2,T20Is,81,79,16,1810,85*,28.73,1376,131.54,0,10,136,81,36,0,81,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,102,169,18,5042,209*,33.39,9882,51.02,11,24,,,76,1,102,,120,94,2,2/24,2/24,47.00,4.70,60.0,0,0,0
4,List A,364,336,47,11301,161,39.10,12416,91.01,21,67,,,123,0,364,,42,49,0,-,-,-,7.00,-,0,0,0
5,T20s,268,254,35,5652,90,25.80,4407,128.25,0,29,441,241,127,0,268,-,-,-,-,-,-,-,-,-,-,-,-
