,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,84,81,2,3381,180,42.79,3148,107.40,9,18,390,68,31,0,84,-,-,-,-,-,-,-,-,-,-,-,-
1,T20Is,32,32,0,743,78,23.21,512,145.11,0,4,75,35,5,0,32,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,81,132,11,4645,143,38.38,5657,82.11,9,22,618,72,73,0,81,25,712,495,14,3/9,4/47,35.35,4.17,50.8,0,0,0
3,List A,180,172,8,6441,180,39.27,6001,107.33,16,34,769,120,69,0,180,1,6,12,0,-,-,-,12.00,-,0,0,0
4,T20s,192,188,9,4882,122*,27.27,3349,145.77,4,31,531,193,83,0,192,2,18,39,1,1/23,1/23,39.00,13.00,18.0,0,0,0
