,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,4,7,0,110,56,15.71,190,57.89,0,1,13,2,1,0,4,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,3,3,0,123,63,41.00,152,80.92,0,2,10,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
2,T20Is,1,1,0,9,9,9.00,7,128.57,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,86,150,7,5618,282*,39.28,7769,72.31,16,25,801,30,65,3,86,7,83,65,1,1/21,1/32,65.00,4.69,83.0,0,0,0
4,List A,73,68,7,2341,220*,38.37,2353,99.49,3,16,293,32,38,3,73,-,-,-,-,-,-,-,-,-,-,-,-
5,T20s,84,79,16,1845,96,29.28,1394,132.35,0,9,212,36,29,2,84,-,-,-,-,-,-,-,-,-,-,-,-
