,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,2,1,0,25,25,25.00,17,147.05,0,0,2,2,0,0,2,1,48,56,1,1/56,1/56,56.00,7.00,48.0,0,0,0
1,T20Is,4,1,0,1,1,1.00,2,50.00,0,0,0,0,1,0,4,4,90,116,7,3/16,3/16,16.57,7.73,12.8,0,0,0
2,First-class,15,23,6,116,30,6.82,215,53.95,0,0,16,1,7,0,15,25,1819,1244,49,6/45,10/149,25.38,4.10,37.1,1,4,1
3,List A,8,5,2,69,28*,23.00,49,140.81,0,0,5,5,1,0,8,7,396,346,13,3/72,3/72,26.61,5.24,30.4,0,0,0
4,T20s,13,6,2,45,19*,11.25,39,115.38,0,0,7,0,5,0,13,13,289,386,23,4/19,4/19,16.78,8.01,12.5,1,0,0
