,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,1,2,0,4,3,2.00,19,21.05,0,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,42,39,0,971,81,24.89,1274,76.21,0,7,115,13,10,0,42,15,365,294,8,4/37,4/37,36.75,4.83,45.6,1,0,0
2,T20Is,3,2,0,6,6,3.00,7,85.71,0,0,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,15,26,1,832,197,33.28,1165,71.41,3,4,118,12,8,0,15,12,670,290,9,2/13,3/39,32.22,2.59,74.4,0,0,0
4,List A,68,65,2,1605,123,25.47,2037,78.79,1,8,189,29,12,0,68,36,1155,954,22,4/37,4/37,43.36,4.95,52.5,1,0,0
5,T20s,27,24,3,486,75,23.14,389,124.93,0,2,45,20,1,0,27,11,108,157,3,1/13,1/13,52.33,8.72,36.0,0,0,0
