,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,1,2,1,72,65*,72.00,163,44.17,0,1,9,2,2,0,1,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,16,16,2,307,57*,21.92,440,69.77,0,3,38,6,10,0,16,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,11,17,2,1002,248,66.80,1436,69.77,3,5,124,21,6,0,11,1,6,13,0,-,-,-,13.00,-,0,0,0
3,List A,33,33,4,816,80*,28.13,1116,73.11,0,8,87,17,17,0,33,-,-,-,-,-,-,-,-,-,-,-,-
4,T20s,14,14,1,334,54,25.69,244,136.88,0,1,31,20,5,0,14,-,-,-,-,-,-,-,-,-,-,-,-
