,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,84,74,12,1811,96,29.20,2765,65.49,0,11,137,26,21,0,84,65,2111,1729,46,4/31,4/31,37.58,4.91,45.8,1,0,0
1,T20Is,62,55,10,985,61,21.88,829,118.81,0,2,73,37,18,0,62,38,634,688,28,5/13,5/13,24.57,6.51,22.6,1,1,0
2,First-class,18,27,6,573,102,27.28,1259,45.51,1,2,71,1,14,0,18,32,2167,1240,38,4/75,5/173,32.63,3.43,57.0,2,0,0
3,List A,127,114,18,2949,192*,30.71,4020,73.35,2,16,233,60,38,0,127,105,3535,3002,73,4/28,4/28,41.12,5.09,48.4,2,0,0
4,T20s,105,91,18,1456,65,19.94,1247,116.76,0,4,93,60,35,0,105,71,1156,1307,50,5/13,5/13,26.14,6.78,23.1,1,1,0
