,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,64,55,8,1024,82*,21.78,1408,72.72,0,5,81,25,12,0,64,59,2164,1940,59,6/43,6/43,32.88,5.37,36.6,2,1,0
1,T20Is,38,31,9,432,56*,19.63,357,121.00,0,1,31,20,17,0,38,21,264,394,9,2/24,2/24,43.77,8.95,29.3,0,0,0
2,First-class,5,7,1,313,88*,52.16,379,82.58,0,3,39,6,6,0,5,7,460,326,14,5/29,5/29,23.28,4.25,32.8,0,2,0
3,List A,97,84,12,1781,100,24.73,2221,80.18,1,8,140,50,21,0,97,85,3117,2840,87,6/43,6/43,32.64,5.46,35.8,4,1,0
4,T20s,76,63,18,849,68,18.86,657,129.22,0,3,61,39,32,0,76,47,681,933,39,4/12,4/12,23.92,8.22,17.4,1,0,0
