,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,2,3,0,103,67,34.33,164,62.80,0,1,12,5,0,0,2,1,12,16,0,-,-,-,8.00,-,0,0,0
1,ODIs,108,102,9,2232,101,24.00,3386,65.91,1,11,154,55,24,0,108,7,139,91,3,1/1,1/1,30.33,3.92,46.3,0,0,0
2,T20Is,59,53,4,1056,62,21.55,991,106.55,0,3,63,53,17,0,59,1,4,4,1,1/4,1/4,4.00,6.00,4.0,0,0,0
3,First-class,25,37,2,1524,145,43.54,2482,61.40,5,4,148,42,15,0,25,6,87,51,0,-,-,-,3.51,-,0,0,0
4,List A,141,134,9,2815,101,22.52,4412,63.80,1,13,198,65,29,0,141,12,207,158,3,1/1,1/1,52.66,4.57,69.0,0,0,0
5,T20s,84,77,9,1768,74,26.00,1556,113.62,0,7,99,99,26,0,84,2,7,12,2,1/4,1/4,6.00,10.28,3.5,0,0,0
