,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,60,55,2,2/55,2/55,27.50,5.50,30.0,0,0,0
1,First-class,12,14,8,26,11*,4.33,75,34.66,0,0,2,2,3,0,12,21,1792,1260,64,6/52,9/130,19.68,4.21,28.0,5,3,0
2,List A,10,4,1,1,1,0.33,9,11.11,0,0,0,0,0,0,10,10,529,512,21,6/36,6/36,24.38,5.80,25.1,1,1,0
3,T20s,27,8,4,6,4,1.50,12,50.00,0,0,1,0,3,0,27,26,584,695,36,5/19,5/19,19.30,7.14,16.2,0,1,0
