,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,13,13,0,279,67,21.46,299,93.31,0,1,29,13,3,0,13,-,-,-,-,-,-,-,-,-,-,-,-
1,T20Is,6,6,1,378,162*,75.60,196,192.85,1,2,32,31,1,0,6,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,17,33,1,1246,133,38.93,1338,93.12,3,8,153,44,22,0,17,6,82,68,3,1/10,1/10,22.66,4.97,27.3,0,0,0
3,List A,22,22,1,505,103*,24.04,470,107.44,1,1,62,20,8,0,22,-,-,-,-,-,-,-,-,-,-,-,-
4,T20s,30,30,1,1080,162*,37.24,644,167.70,2,6,99,77,12,0,30,-,-,-,-,-,-,-,-,-,-,-,-
