,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,2.0,5,2,1,0,,v New Zealand,Christchurch,14 Feb 2015
1,2,4,-,-,-,-,-,,v New Zealand,Christchurch,14 Feb 2015
2,1,-,3.0,13,0,2,0,,v Afghanistan,Dunedin,22 Feb 2015
3,2,9*,-,-,-,-,-,,v Afghanistan,Dunedin,22 Feb 2015
4,1,1,-,-,-,-,-,,v New Zealand,Cardiff,1 Jun 2019
