,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,49,-,-,-,-,-,,v England,Leeds,21 Jun 2019
1,2,-,DNB,-,-,0,0,,v England,Leeds,21 Jun 2019
2,1,30,-,-,-,-,-,,v South Africa,Chester-le-Street,28 Jun 2019
3,2,-,DNB,-,-,0,0,,v South Africa,Chester-le-Street,28 Jun 2019
4,1,104,-,-,-,-,-,,v West Indies,Chester-le-Street,1 Jul 2019
