,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,2.0,17,0,1,0,,v Australia,The Oval,15 Jun 2019
1,2,3,-,-,-,-,-,,v Australia,The Oval,15 Jun 2019
