,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,11,-,-,-,-,-,,v Canada,Hambantota,20 Feb 2011
1,2,-,7.0,24,3,0,0,,v Canada,Hambantota,20 Feb 2011
2,1,-,9.0,62,2,0,0,,v Pakistan,Colombo (RPS),26 Feb 2011
3,2,8,-,-,-,-,-,,v Pakistan,Colombo (RPS),26 Feb 2011
4,1,3,-,-,-,-,-,,v Zimbabwe,Pallekele,10 Mar 2011
