,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,DNB,-,-,-,-,-,,v West Indies,Chester-le-Street,1 Jul 2019
1,2,-,10.0,76,1,0,0,,v West Indies,Chester-le-Street,1 Jul 2019
2,1,DNB,-,-,-,-,-,,v India,Leeds,6 Jul 2019
3,2,-,8.0,47,1,0,0,,v India,Leeds,6 Jul 2019
