,Index,column,Query
145,32804,Remarks,"{'drug trafficking', 'drug'}"
146,32810,Remarks,drogas
147,32811,Remarks,drogas
148,32896,Remarks,drogas
149,32922,Remarks,drug
150,32997,Remarks,drug
151,33140,Remarks,"{'drug trafficking', 'drug'}"
152,33911,Remarks,drug
153,34828,Remarks,drugs
154,35136,Remarks,"{'drug trafficking', 'drug'}"
155,35142,Remarks,drugs
156,35143,Remarks,drugs
157,35151,Remarks,drugs
158,35180,Remarks,drugs
159,35231,Remarks,drugs
160,35803,Remarks,drugs
161,35881,Remarks,drug
162,36073,Remarks,drug
163,36603,Remarks,drug
164,36631,Remarks,drug
165,36664,Remarks,drug
166,36687,Remarks,drug
167,38847,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
168,39077,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
169,39380,"{'Name', 'OrigName', 'Aliases'}","{'drug trafficking', 'drug'}"
170,39641,Aliases,"{'drug trafficking', 'drug'}"
171,39828,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
172,39829,Remarks,"{'drug trafficking', 'drug'}"
173,39831,Remarks,"{'drug trafficking', 'drug'}"
174,39833,Remarks,"{'drug trafficking', 'drug'}"
175,39835,Remarks,"{'drug trafficking', 'drug'}"
176,39838,Remarks,"{'drug trafficking', 'drug'}"
177,39839,Remarks,"{'drug trafficking', 'drug'}"
178,39841,Remarks,"{'drug trafficking', 'drug'}"
179,39888,Remarks,"{'drug trafficking', 'drug'}"
180,39890,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
181,39891,Remarks,"{'drug trafficking', 'drug'}"
182,39892,Remarks,"{'drug trafficking', 'drug'}"
183,39894,Remarks,"{'drug trafficking', 'drug'}"
184,39895,Remarks,"{'drug trafficking', 'drug'}"
185,39898,Remarks,"{'drug trafficking', 'drug'}"
186,39899,Remarks,"{'drug trafficking', 'drug'}"
187,39901,Remarks,"{'drug trafficking', 'drug'}"
188,40030,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
189,40035,Remarks,"{'drug trafficking', 'drug'}"
190,40037,Remarks,"{'drug trafficking', 'drug'}"
191,40180,Remarks,"{'drug trafficking', 'drug'}"
192,40182,"{'Name', 'OrigName'}","{'drug trafficking', 'drug'}"
193,40185,Remarks,"{'drug trafficking', 'drug'}"
194,40188,Remarks,"{'drug trafficking', 'drug'}"
195,40191,Remarks,"{'drug trafficking', 'drug'}"
196,40194,Remarks,"{'drug trafficking', 'drug'}"
197,40196,Remarks,"{'drug trafficking', 'drug'}"
198,40198,Remarks,"{'drug trafficking', 'drug'}"
199,40202,Remarks,"{'drug trafficking', 'drug'}"
200,40205,Remarks,"{'drug trafficking', 'drug'}"
201,40209,Remarks,"{'drug trafficking', 'drug'}"
202,40212,Remarks,"{'drug trafficking', 'drug'}"
203,40218,Remarks,"{'drug trafficking', 'drug'}"
204,40222,Remarks,"{'drug trafficking', 'drug'}"
205,40226,Remarks,"{'drug trafficking', 'drug'}"
206,40235,Remarks,"{'drug trafficking', 'drug'}"
207,40241,Remarks,"{'drug trafficking', 'drug'}"
208,40245,Remarks,"{'drug trafficking', 'drug'}"
209,40252,Remarks,"{'drug trafficking', 'drug'}"
210,40254,Remarks,"{'drug trafficking', 'drug'}"
211,40380,Remarks,"{'drug trafficking', 'drug'}"
212,40414,Remarks,"{'drug trafficking', 'drug'}"
213,40416,Remarks,"{'drug trafficking', 'drug'}"
214,40420,Remarks,"{'drug trafficking', 'drug'}"
215,40423,Remarks,"{'drug trafficking', 'drug'}"
216,40426,Remarks,"{'drug trafficking', 'drug'}"
217,40428,Remarks,"{'drug trafficking', 'drug'}"
218,40433,Remarks,"{'drug trafficking', 'drug'}"
219,40497,Remarks,"{'drug trafficking', 'drug'}"
220,40508,Remarks,"{'drug trafficking', 'drug'}"
